City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Behshahr,36.69,53.55,82.4,61,75,9.17,IR,1596549401
Boende,-0.22,20.87,84.76,60,67,5.17,CD,1596549402
Moyamba,8.17,-12.43,81.19,68,92,6.31,SL,1596549402
Kahului,20.89,-156.47,75.2,69,90,11.41,US,1596549382
Boden,65.83,21.69,64.4,82,40,8.05,SE,1596549403
Kathu,7.92,98.33,87.01,83,40,3.71,TH,1596549403
Nikolskoye,59.7,30.79,71.01,82,20,4.47,RU,1596549349
Acapulco de Juárez,16.86,-99.89,82.4,83,40,4.7,MX,1596549321
Palmer,42.16,-72.33,78.01,88,90,3.36,US,1596549404
Deer Lake,49.17,-57.43,60.8,93,90,9.17,CA,1596549406
Dhidhdhoo,6.88,73.1,82.67,81,100,17.43,MV,1596549124
Hay River,60.82,-115.8,60.8,67,75,14.99,CA,1596549407
Kabo,7.7,18.63,81.12,81,11,4.92,CF,1596549407
Piteå,65.32,21.48,64.4,82,40,8.05,SE,1596549408
Carballo,43.21,-8.69,84.0,69,20,10.29,ES,1596549199
Lázaro Cárdenas,17.96,-102.2,80.92,81,98,2.64,MX,1596549278
Saskylakh,71.92,114.08,69.46,50,8,6.91,RU,1596549412
Semey,50.41,80.23,86.0,35,2,13.42,KZ,1596549413
Buraidah,26.33,43.98,107.6,17,0,16.11,SA,1596549413
Pemangkat,1.17,108.97,81.55,80,100,4.81,ID,1596549414
Millinocket,45.66,-68.71,71.6,73,1,3.36,US,1596549301
Nicoya,10.15,-85.45,77.0,94,40,3.36,CR,1596549416
Mahrīz,31.59,54.43,102.2,14,20,4.7,IR,1596549417
Aldan,58.6,125.39,56.32,65,100,5.7,RU,1596549417
Lumberton,34.62,-79.01,75.0,88,90,6.93,US,1596549418
Johnson City,36.31,-82.35,70.0,88,90,4.25,US,1596549300
Spartanburg,34.95,-81.93,73.99,88,1,4.7,US,1596549299
Aklavik,68.22,-135.01,48.2,100,90,10.29,CA,1596549419
Hasaki,35.73,140.83,75.99,94,20,4.7,JP,1596549420
Xingtai,37.06,114.49,79.92,72,100,4.99,CN,1596549175
Sarny,51.34,26.6,78.31,54,93,14.27,UA,1596549420
Tommot,58.96,126.29,57.63,74,99,2.21,RU,1596549421
Bagdarin,54.43,113.6,54.81,91,51,3.58,RU,1596549333
Ørnes,66.87,13.71,60.8,72,40,14.99,NO,1596549319
Ponta do Sol,32.67,-17.1,82.4,54,20,19.46,PT,1596549422
Bathsheba,13.22,-59.52,86.0,70,40,17.22,BB,1596549422
Neya,58.3,43.87,74.46,52,1,5.26,RU,1596549423
Valleyview,55.07,-117.29,56.43,64,0,11.03,CA,1596549423
Paamiut,61.99,-49.67,44.38,90,91,11.43,GL,1596549367
Kulhudhuffushi,6.62,73.07,82.6,82,100,17.07,MV,1596549424
Iranshahr,27.2,60.68,113.0,8,11,13.87,IR,1596549424
Tilichiki,60.47,166.1,46.24,95,0,1.61,RU,1596549332
Boguchany,58.38,97.45,61.86,66,100,4.59,RU,1596549425
Iqaluit,63.75,-68.51,53.6,87,75,2.24,CA,1596549101
Scottsbluff,41.87,-103.67,64.99,87,1,9.17,US,1596549427
Enshi,30.3,109.48,80.01,74,99,2.64,CN,1596549348
Najrān,17.49,44.13,98.6,30,75,9.17,SA,1596549340
Nishihara,26.18,127.76,84.2,83,75,13.87,JP,1596549349
Kishanganj,26.12,87.93,93.24,60,90,9.15,IN,1596549181
Butaritari,3.07,172.79,83.07,74,66,16.37,KI,1596549347
Erenhot,43.65,111.98,79.81,32,56,5.95,CN,1596549429
California City,35.13,-117.99,78.8,24,1,13.87,US,1596549430
Fallon,39.47,-118.78,66.99,34,1,6.08,US,1596549352
Aloleng,16.13,119.78,83.79,76,100,3.58,PH,1596549430
Korla,41.76,86.15,90.91,17,0,2.28,CN,1596549431
Balkhash,46.84,74.98,80.28,36,0,3.78,KZ,1596549431
Clarksburg,39.28,-80.34,75.99,73,75,5.82,US,1596549432
Uni,57.75,51.49,66.99,68,100,4.83,RU,1596549432
Three Hills,51.7,-113.27,54.0,53,61,4.92,CA,1596549432
Ossora,59.24,163.07,49.51,79,8,1.7,RU,1596549433
Xinmin,41.99,122.83,78.8,94,75,8.95,CN,1596549433
Taikang,46.83,124.42,70.36,73,95,3.69,CN,1596549433
Klyuchi,52.27,79.17,76.03,54,0,15.28,RU,1596549435
Mehamn,71.04,27.85,55.4,82,77,5.82,NO,1596549061
Kazachinskoye,57.7,93.28,61.66,77,40,4.12,RU,1596549435
Luorong,24.41,109.61,81.09,82,0,2.57,CN,1596549363
Podyuga,61.09,40.86,69.6,81,90,5.46,RU,1596549436
Plouzané,48.38,-4.62,69.8,52,0,11.41,FR,1596549436
Fergus Falls,46.28,-96.08,63.0,72,1,6.93,US,1596549437
Los Llanos de Aridane,28.66,-17.92,78.8,69,75,13.87,ES,1596549305
Sistranda,63.73,8.83,59.0,82,75,10.29,NO,1596549319
Imeni Poliny Osipenko,52.42,136.49,52.05,94,100,11.16,RU,1596549438
Kudahuvadhoo,2.67,72.89,83.79,73,44,10.63,MV,1596549439
Balad,34.02,44.15,110.66,9,0,19.86,IQ,1596549439
Sukhumi,43.0,41.02,79.88,59,0,8.84,GE,1596549439
Klaksvík,62.23,-6.59,51.8,100,100,12.75,FO,1596549440
Lagos,6.58,3.75,86.0,66,75,8.05,NG,1596549367
Bac Lieu,9.29,105.72,77.52,86,99,8.86,VN,1596549441
Clyde River,70.47,-68.59,42.8,93,90,6.93,CA,1596549337
Whitehorse,60.72,-135.05,48.2,76,75,11.41,CA,1596549443
Khatanga,71.97,102.5,69.82,56,100,4.76,RU,1596549444
Moussoro,13.64,16.49,89.13,50,94,11.59,TD,1596549444
Assiut,27.18,31.18,105.8,24,0,11.41,EG,1596549444
Negombo,7.21,79.84,82.4,83,75,10.29,LK,1596549420
Tuktoyaktuk,69.45,-133.04,48.2,100,90,8.05,CA,1596549287
Tevriz,57.51,72.4,80.89,68,54,4.23,RU,1596549334
Den Helder,52.96,4.76,66.99,55,0,9.17,NL,1596549446
Khairpur Nathan Shah,27.09,67.73,109.92,19,100,2.73,PK,1596549446
Upernavik,72.79,-56.15,41.05,69,18,3.13,GL,1596549322
Chegdomyn,51.12,133.02,55.8,96,100,2.1,RU,1596549336
Bonthe,7.53,-12.51,79.7,69,99,11.81,SL,1596549449
Umeå,63.83,20.26,61.0,93,75,5.82,SE,1596549449
Amapá,1.0,-52.0,87.22,55,7,4.21,BR,1596549309
Ankara,39.92,32.85,89.6,21,0,6.93,TR,1596549450
Kuantan,3.81,103.33,84.2,83,20,1.12,MY,1596549450
Ōarai,36.32,140.6,77.0,83,20,4.7,JP,1596549451
Senno,59.53,33.92,71.04,69,100,5.91,RU,1596549451
Calamar,10.25,-74.91,84.2,79,75,5.82,CO,1596549452
Kelvington,52.17,-103.53,58.91,87,100,9.4,CA,1596549452
Severo-Kuril'sk,50.68,156.12,51.84,84,92,4.36,RU,1596549299
Codrington,-38.27,141.97,46.22,75,42,13.73,AU,1596549453
Ushtobe,45.25,77.98,85.05,21,0,9.24,KZ,1596549453
Port Said,31.26,32.28,89.6,49,0,14.99,EG,1596549454
Srednekolymsk,67.45,153.68,49.15,73,100,4.76,RU,1596549372
Lompoc,34.64,-120.46,55.4,93,20,5.82,US,1596549355
Linping,30.42,120.3,84.0,94,75,8.95,CN,1596549455
Yellowknife,62.46,-114.35,64.0,77,20,11.41,CA,1596549080
Soc Trang,9.6,105.98,76.39,91,100,4.38,VN,1596549336
Vigrestad,58.57,5.7,62.01,73,45,4.0,NO,1596549456
Guerrero Negro,27.98,-114.06,69.57,80,7,5.48,MX,1596549281
Half Moon Bay,37.46,-122.43,59.0,100,90,6.93,US,1596549457
Ust-Kuyga,70.02,135.6,47.32,78,0,4.99,RU,1596549457
Kamenka,51.32,42.77,78.01,40,0,8.01,RU,1596549457
Saint Anthony,45.02,-93.22,64.4,59,1,5.82,US,1596549458
Garoowe,8.41,48.48,91.94,29,11,28.9,SO,1596549458
Kapaa,22.08,-159.32,78.8,74,75,11.41,US,1596549458
Tura,25.52,90.22,79.07,91,100,6.13,IN,1596549293
San Vicente,-26.62,-54.13,73.2,48,0,5.73,AR,1596549459
High Level,58.52,-117.14,55.4,93,75,4.7,CA,1596549460
Sapouy,11.55,-1.77,82.76,65,84,10.78,BF,1596549460
Ojo Caliente,22.57,-102.25,60.8,82,75,2.39,MX,1596549461
São Filipe,14.9,-24.5,77.13,78,9,6.89,CV,1596549318
Yagodnoye,62.55,149.67,47.01,77,50,5.57,RU,1596549322
Vanderhoof,54.02,-124.02,50.31,76,0,2.98,CA,1596549462
Bodaybo,57.85,114.19,60.87,82,0,3.38,RU,1596549462
Sakakah,29.97,40.21,98.6,13,0,20.8,SA,1596549462
Spassk-Ryazanskiy,54.41,40.38,72.86,53,100,1.5,RU,1596549464
Shafranovo,53.97,54.77,64.98,96,100,14.09,RU,1596549465
Raja,8.46,25.68,80.8,80,59,5.95,SS,1596549465
Onokhoy,51.93,108.07,66.2,82,20,4.47,RU,1596549465
Annau,37.89,58.52,91.4,38,75,16.11,TM,1596549466
Idenao,4.25,9.0,80.6,83,75,8.05,CM,1596549466
Genhe,50.78,121.52,58.46,94,100,3.87,CN,1596549345
Fukuechō,32.69,128.84,82.74,85,99,16.08,JP,1596549085
Ust-Nera,64.57,143.2,51.42,67,1,4.14,RU,1596549467
Khandyga,62.67,135.6,59.29,46,0,2.37,RU,1596549385
Portree,57.41,-6.19,57.99,93,100,21.99,GB,1596549468
Ketchikan,55.34,-131.65,57.2,93,90,10.29,US,1596549375
Sinor,21.92,73.33,82.76,71,54,12.68,IN,1596549469
Bellinzona,46.19,9.02,80.6,26,40,8.05,CH,1596549469
Golakganj,26.1,89.83,85.98,78,100,10.22,IN,1596549469
Fort Saint James,54.43,-124.25,48.74,76,0,2.75,CA,1596549470
Robertsport,6.75,-11.37,78.12,68,100,9.73,LR,1596549470
Puerto Ayora,-0.74,-90.35,66.99,99,100,1.99,EC,1596549277
St. George's,12.06,-61.75,86.0,74,40,9.17,GD,1596549183
Bokoro,12.38,17.06,85.95,62,87,10.18,TD,1596549471
Tuy Hoa,13.08,109.3,82.87,76,62,4.38,VN,1596549196
Samaná,19.21,-69.34,82.4,83,20,4.7,DO,1596549474
Moose Factory,51.26,-80.61,48.2,93,90,8.05,CA,1596549474
Basoko,1.24,23.62,81.95,68,58,3.56,CD,1596549474
Aykhal,66.0,111.5,69.8,40,55,4.47,RU,1596549475
Bilibino,68.05,166.44,43.92,87,100,4.14,RU,1596549074
Eišiškės,54.17,25.0,70.0,88,100,3.36,LT,1596549476
Jalu,29.03,21.55,103.82,15,0,11.41,LY,1596549093
Barrow,71.29,-156.79,36.36,89,100,6.35,US,1596549304
Morant Bay,17.88,-76.41,86.0,62,20,8.05,JM,1596549477
Tottori-shi,35.5,134.23,77.27,76,28,4.65,JP,1596549478
Bakchar,57.02,82.07,69.19,69,0,6.22,RU,1596549334
Chokurdakh,70.63,147.92,44.96,80,48,7.36,RU,1596549272
São Gabriel da Cachoeira,-0.13,-67.09,77.0,88,75,3.36,BR,1596549303
Saint Paul Harbor,57.79,-152.41,55.4,87,90,20.8,US,1596549479
Cam Ranh,11.92,109.16,86.0,89,20,1.12,VN,1596549480
Colón,9.36,-79.9,79.0,94,35,5.01,PA,1596549480
Basco,20.45,121.97,84.33,81,100,11.07,PH,1596549480
Bethel,41.37,-73.41,77.0,94,90,5.82,US,1596549361
Linfen,36.09,111.52,78.08,66,51,5.91,CN,1596549481
Guatire,10.48,-66.54,78.01,59,27,4.27,VE,1596549482
Avilés,43.55,-5.92,75.99,64,20,8.05,ES,1596549482
Hilo,19.73,-155.09,73.4,73,90,1.57,US,1596549482
Nantucket,41.28,-70.1,75.2,94,90,12.75,US,1596549346
Ilulissat,69.22,-51.1,44.6,70,75,2.24,GL,1596549064
Hong Kong,22.29,114.16,81.0,88,40,9.17,HK,1596549303
Puerto Escondido,15.85,-97.07,78.8,74,40,8.05,MX,1596549484
Vista Hermosa,19.52,-99.22,60.8,82,75,4.7,MX,1596549290
Kavieng,-2.57,150.8,82.08,83,100,17.83,PG,1596549356
Tvrdonice,48.76,16.99,69.01,81,100,14.65,CZ,1596549485
Salalah,17.02,54.09,84.2,79,20,10.29,OM,1596549485
Quesnel,53.0,-122.5,46.4,100,90,2.24,CA,1596549486
Cabo San Lucas,22.89,-109.91,84.0,51,5,9.93,MX,1596549333
Tangshan,39.63,118.18,82.36,67,74,6.64,CN,1596549487
Shingū,33.73,135.98,74.88,83,11,5.1,JP,1596549487
Naze,28.37,129.48,82.4,83,40,6.93,JP,1596549344
Pirovskoye,57.63,92.27,63.5,69,93,5.5,RU,1596549488
Faya,18.39,42.45,71.6,83,40,4.7,SA,1596549359
Celestún,20.87,-90.4,82.06,74,98,7.29,MX,1596549489
Sakété,6.74,2.66,80.6,74,40,17.22,BJ,1596549365
Devils Lake,48.11,-98.87,62.6,67,1,5.82,US,1596549489
Dhing,26.47,92.47,92.55,66,100,4.36,IN,1596549490
Greenville,35.61,-77.37,75.99,83,75,6.93,US,1596549491
Okhotsk,59.38,143.3,57.36,84,100,8.01,RU,1596549491
Tromsø,69.65,18.96,59.0,82,75,2.24,NO,1596549492
Chumikan,54.72,135.31,51.42,89,42,11.65,RU,1596549077
Nyurba,63.28,118.33,60.51,70,100,3.71,RU,1596549074
Coldwater,41.94,-85.0,63.0,93,90,5.82,US,1596549493
Airai,-8.93,125.41,54.66,100,100,0.6,TL,1596549384
Forsytheganj,52.63,29.73,77.72,52,0,10.45,BY,1596549493
Ribeira Brava,32.65,-17.07,82.4,54,20,19.46,PT,1596549494
Corvallis,44.56,-123.26,57.99,93,1,8.05,US,1596549494
Hofn,64.25,-15.21,51.4,76,100,6.8,IS,1596549494
Harsūd,22.1,76.73,84.78,69,2,3.62,IN,1596549495
Zaraza,9.35,-65.32,75.4,94,95,0.63,VE,1596549495
Gravdal,68.12,13.5,59.0,72,75,13.87,NO,1596549496
Tiruchchendur,8.48,78.12,82.99,67,100,20.83,IN,1596549496
Sioux Lookout,50.1,-91.92,57.2,87,5,2.24,CA,1596549496
Norrtälje,59.76,18.7,73.0,66,53,5.99,SE,1596549497
Milford,41.22,-73.06,81.0,83,40,9.17,US,1596549497
Narsaq,60.92,-46.05,50.0,81,75,3.36,GL,1596549498
Fortuna,40.6,-124.16,60.01,96,100,1.01,US,1596549498
Torbay,47.67,-52.73,71.01,100,90,13.87,CA,1596549499
Mongoumba,3.64,18.59,86.54,54,63,4.09,CF,1596549499
Aborlan,9.44,118.55,79.83,80,100,2.57,PH,1596549500
Khorramshahr,30.44,48.17,114.8,9,0,18.34,IR,1596549500
Batticaloa,7.71,81.69,83.8,64,100,15.19,LK,1596549500
Serebryanyy Bor,56.8,124.8,55.04,68,99,2.26,RU,1596549501
Namatanai,-3.67,152.43,80.13,81,99,7.52,PG,1596549501
Sinnamary,5.38,-52.95,84.49,65,0,5.66,GF,1596549292
Baiquan,47.58,126.08,66.33,87,75,2.51,CN,1596549502
Ternate,0.8,127.4,79.05,81,100,4.27,ID,1596549502
Payo,-3.75,103.64,75.16,93,100,2.21,ID,1596549502
Bonavista,48.65,-53.11,71.01,81,100,14.0,CA,1596549504
Pevek,69.7,170.31,33.93,97,99,12.93,RU,1596549367
Cururupu,-1.83,-44.87,83.75,68,0,6.24,BR,1596549504
Borogontsy,62.67,131.17,61.99,54,0,3.2,RU,1596549505
Constitución,-35.33,-72.42,57.63,74,52,1.66,CL,1596549342
Atuona,-9.8,-139.03,78.26,73,1,20.02,PF,1596549306
Kalmunai,7.42,81.82,84.83,59,100,11.03,LK,1596549506
Norwich,52.63,1.3,72.0,43,96,13.87,GB,1596549506
Uyemskiy,64.47,40.85,68.0,64,40,6.71,RU,1596549506
Taunggyi,20.78,97.03,65.46,100,88,5.01,MM,1596549490
Adolfo Ruíz Cortínes,25.75,-108.75,82.4,61,90,6.93,MX,1596549507
Verkh-Usugli,52.7,115.17,55.69,94,100,2.82,RU,1596549508
Pampa,35.54,-100.96,69.8,77,1,20.8,US,1596549503
Talnakh,69.49,88.4,68.0,72,100,15.66,RU,1596549332
Fort Nelson,58.81,-122.7,51.8,81,20,6.93,CA,1596549509
Troitskoye,52.98,84.68,73.27,57,2,14.32,RU,1596549510
Kenai,60.55,-151.26,53.01,93,40,4.7,US,1596549510
Dawlatabad,36.41,64.91,96.31,11,0,11.39,AF,1596549511
Saint-Pierre,-21.34,55.48,69.8,73,75,24.16,RE,1596549157
Praia da Vitória,38.73,-27.07,80.6,69,40,16.62,PT,1596549512
Athens,37.98,23.72,91.0,48,0,11.41,GR,1596549513
Vanavara,60.34,102.28,57.24,91,100,1.92,RU,1596549513
Grindavik,63.84,-22.43,51.8,81,75,8.05,IS,1596549514
Saint-François,46.42,3.91,78.01,40,39,8.05,FR,1596549514
Husavik,66.04,-17.34,51.8,87,90,8.05,IS,1596549308
Burley,42.54,-113.79,62.6,55,1,3.36,US,1596549516
Mapiripán,2.89,-72.13,76.57,83,96,5.88,CO,1596549517
Nardaran,40.56,50.01,80.6,51,5,6.93,AZ,1596549517
Palāsa,18.77,84.42,79.03,89,100,9.64,IN,1596549276
Kumul,42.8,93.45,94.33,13,0,9.06,CN,1596549346
Acaraú,-2.89,-40.12,86.67,47,0,14.16,BR,1596549518
Fairbanks,64.84,-147.72,55.4,93,90,6.93,US,1596549348
Narganá,9.44,-78.59,80.56,84,96,7.47,PA,1596549519
Anadyr,64.75,177.48,44.6,87,87,4.47,RU,1596549520
Mana,5.66,-53.78,84.81,62,0,5.7,GF,1596549521
Batagay,67.63,134.63,49.17,70,0,2.66,RU,1596549521
Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,100,40,2.24,RU,1596549521
Kelheim,48.92,11.87,62.6,59,75,6.93,DE,1596549522
La Ronge,55.1,-105.28,64.4,82,40,13.87,CA,1596549522
Black River,18.03,-77.85,87.01,70,20,4.7,JM,1596549523
Vershino-Darasunskiy,52.35,115.52,54.21,97,100,3.6,RU,1596549523
Champerico,14.3,-91.92,77.0,88,75,6.29,GT,1596549294
Huai Thalaeng,15.0,102.65,84.2,79,40,4.7,TH,1596549524
Chapleau,47.84,-83.4,51.8,87,90,9.17,CA,1596549357
Porto-Novo,6.5,2.6,80.6,74,40,17.22,BJ,1596549524
Yar-Sale,66.83,70.83,67.05,55,100,7.11,RU,1596549525
Mahon,39.89,4.27,77.0,47,75,9.17,ES,1596549525
Meybod,32.25,54.02,102.2,14,20,4.7,IR,1596549526
Binzhou,37.37,118.02,82.0,88,100,9.31,CN,1596549347
Sibutad,8.61,123.48,78.73,89,100,5.57,PH,1596549528
College,64.86,-147.8,55.4,93,75,4.7,US,1596549353
Olafsvik,64.89,-23.71,48.4,92,100,7.45,IS,1596549064
Hamilton,39.18,-84.53,69.01,88,90,4.92,US,1596549317
Yima,34.74,111.88,79.0,70,49,13.51,CN,1596549336
Lethem,3.38,-59.8,83.89,71,4,4.34,GY,1596549379
Dikson,73.51,80.55,49.08,80,17,15.64,RU,1596549343
Ulaanbaatar,47.91,106.88,68.0,64,40,2.84,MN,1596549390
Havøysund,71.0,24.66,64.4,87,20,4.7,NO,1596549531
Sitka,57.05,-135.33,57.2,82,90,10.29,US,1596549532
Pangnirtung,66.15,-65.71,48.2,93,75,5.82,CA,1596549323
Ryōtsu-minato,38.08,138.43,75.2,94,74,2.24,JP,1596549342
Chumphon,10.33,98.83,82.4,83,75,4.7,TH,1596549533
Dingle,11.0,122.67,78.12,87,100,5.44,PH,1596549533
Rincon,32.3,-81.24,77.0,100,90,4.7,US,1596549534
Turnu Roşu,45.63,24.3,86.0,33,20,14.99,RO,1596549534
Tsimmerbude,54.67,20.13,64.4,88,90,8.95,RU,1596549366
Lunglei,22.88,92.73,73.4,98,100,1.83,IN,1596549535
Savelugu,9.62,-0.83,87.42,49,85,8.72,GH,1596549535
Rezh,57.37,61.4,66.25,93,100,10.22,RU,1596549535
Goryachegorsk,55.41,88.92,59.56,83,0,4.09,RU,1596549536
Sirūr,18.83,74.38,75.45,86,100,18.12,IN,1596549539
Sobolevo,54.43,31.9,73.08,69,23,10.51,RU,1596549539
Manger,60.64,5.04,60.8,72,40,16.11,NO,1596549540
Galle,6.04,80.22,79.54,87,100,11.9,LK,1596549540
Abu Dhabi,24.47,54.37,102.2,48,95,11.41,AE,1596549361
Muros,42.78,-9.06,84.0,50,35,5.82,ES,1596549543
Nome,64.5,-165.41,45.0,81,1,9.17,US,1596549543
Kyaikkami,16.08,97.57,81.93,84,100,20.0,MM,1596549545
Morgan City,29.7,-91.21,82.4,88,1,6.93,US,1596549545
The Valley,18.22,-63.06,87.8,79,20,13.87,AI,1596549251
Banyo,6.75,11.82,74.35,81,66,6.64,CM,1596549546
Patiya,22.29,91.98,87.8,74,75,6.93,BD,1596549546
Tiksi,71.69,128.87,41.22,84,0,4.97,RU,1596549073
Kiryat Gat,31.61,34.76,90.0,57,0,1.99,IL,1596549547
Cherskiy,68.75,161.3,42.49,94,100,9.78,RU,1596549547
Craig,40.52,-107.55,60.8,55,1,4.14,US,1596549548
Les Herbiers,46.87,-1.02,79.0,33,0,5.82,FR,1596549548
Yong’an,39.7,113.69,69.33,61,59,6.76,CN,1596549549
Stornoway,58.21,-6.39,55.99,100,75,21.92,GB,1596549549
Provideniya,64.38,-173.3,45.95,77,0,1.63,RU,1596549549
Araouane,18.9,-3.53,103.66,26,0,15.57,ML,1596549550
Darhan,49.49,105.92,65.3,78,100,1.7,MN,1596549550
‘Āhuimanu,21.44,-157.84,77.0,69,20,5.82,US,1596549551
Seoul,37.57,126.98,82.4,94,90,5.57,KR,1596549434
Kungurtug,50.6,97.52,56.57,70,35,2.42,RU,1596549552
Ribeira Grande,38.52,-28.7,75.2,88,40,11.41,PT,1596549329
Sabha,27.04,14.43,105.44,7,0,9.73,LY,1596549328
Kortkeros,61.81,51.58,69.8,60,40,4.47,RU,1596549553
Lhokseumawe,5.18,97.15,80.76,84,85,5.77,ID,1596549274
Nemuro,43.32,145.57,66.51,91,100,12.28,JP,1596549553
Sarangani,5.4,125.46,79.86,86,100,11.79,PH,1596549554
Socorro,31.65,-106.3,79.0,44,40,1.86,US,1596549343
Lagoa,39.05,-27.98,72.9,86,89,18.34,PT,1596549371
Asmara,15.33,38.93,61.81,84,100,7.43,ER,1596549428
Dali,25.7,100.18,67.75,80,94,2.42,CN,1596549089
Nanortalik,60.14,-45.24,44.35,90,99,5.7,GL,1596549326
Shatki,55.19,44.12,71.4,57,21,6.55,RU,1596549557
Saint George,37.1,-113.58,73.99,18,1,2.01,US,1596549299
Knokke-Heist,51.33,3.33,73.99,49,50,2.24,BE,1596549558
Thinadhoo,0.53,72.93,81.82,78,77,9.26,MV,1596549559
Norfolk,42.17,-71.25,82.0,78,1,4.7,US,1596549560
Mersing,2.43,103.84,82.4,83,96,3.36,MY,1596549560
Adrar,20.5,-10.07,100.96,30,73,15.48,MR,1596549339
Oodweyne,9.41,45.06,80.6,41,42,27.56,SO,1596549561
Kampot,10.62,104.18,82.4,74,40,8.05,KH,1596549561
Nikolayevsk-on-Amur,53.14,140.73,53.01,85,100,6.02,RU,1596549335
Traverse City,44.76,-85.62,64.4,72,75,4.7,US,1596549271
Abu Samrah,35.3,37.18,94.15,24,14,22.57,SY,1596549563
Luga,58.74,29.85,75.92,60,100,8.1,RU,1596549563
Djenné,13.91,-4.55,81.93,65,100,11.81,ML,1596549421
Poykovskiy,61.23,73.33,87.8,48,0,6.71,RU,1596549564
Dakar,14.69,-17.44,87.8,66,75,16.11,SN,1596549564
Isla Mujeres,21.23,-86.73,84.0,100,75,2.24,MX,1596549565
Kwang Binh,17.48,106.6,81.48,81,100,7.96,VN,1596549338
Aktash,50.3,87.73,51.08,70,78,2.71,RU,1596549566
Boa Vista,2.82,-60.67,75.2,88,75,5.82,BR,1596549566
Caniço,32.63,-16.85,82.4,54,20,19.46,PT,1596549567
Progreso,21.28,-89.67,84.0,83,75,4.7,MX,1596549567
Biltine,14.53,20.92,84.61,56,73,8.03,TD,1596549567
Bartica,6.4,-58.62,82.4,88,75,6.93,GY,1596549568
Thompson,55.74,-97.86,62.6,82,20,4.7,CA,1596549297
Banes,20.96,-75.72,82.4,83,75,6.93,CU,1596549569
Kloulklubed,7.04,134.26,77.0,94,90,12.95,PW,1596549569
Lisala,2.15,21.52,87.42,53,22,1.39,CD,1596549569
Youghal,51.95,-7.85,66.2,77,75,23.04,IE,1596549570
Buzdyak,54.58,54.55,66.0,89,100,17.2,RU,1596549570
Shangzhi,45.22,127.97,66.94,89,0,4.68,CN,1596549346
Namangan,41.0,71.67,91.4,24,0,4.7,UZ,1596549571
Murud,18.33,72.97,80.46,86,100,17.87,IN,1596549571
San Juan,-31.54,-68.54,64.33,29,5,10.45,AR,1596549572
San Patricio,19.22,-104.7,79.0,82,0,3.51,MX,1596549354
Leningradskiy,69.38,178.42,38.55,94,100,10.04,RU,1596549368
Parole,38.98,-76.53,71.6,95,90,31.09,US,1596549573
Abu Kamal,34.45,40.92,104.83,12,3,18.79,SY,1596549062
Misratah,32.38,15.09,93.58,34,0,10.25,LY,1596549346
Cayenne,4.93,-52.33,86.0,66,40,5.82,GF,1596549286
Atar,20.52,-13.05,99.57,32,58,16.96,MR,1596549574
Yen Bai,21.7,104.87,77.68,93,100,2.75,VN,1596549538
Umm Kaddadah,13.6,26.69,90.54,40,92,7.65,SD,1596549576
Krasnovishersk,60.41,57.08,65.16,59,100,4.65,RU,1596549576
Norman Wells,65.28,-126.83,60.8,93,90,10.29,CA,1596549096
Yerbogachën,61.28,108.01,62.42,67,57,8.08,RU,1596549369
Porbandar,21.64,69.61,86.0,84,90,9.17,IN,1596549577
Vieques,18.43,-65.83,89.01,74,20,13.87,PR,1596549578
Dongsheng,39.82,109.98,73.63,57,93,10.18,CN,1596549578
Vardø,70.37,31.11,64.4,72,56,11.41,NO,1596549061
Vestmannaeyjar,63.44,-20.27,51.8,81,40,17.22,IS,1596549579
Berlevåg,70.86,29.09,64.4,71,90,11.41,NO,1596549376
Bandar-e Anzali,37.47,49.46,75.2,73,90,4.7,IR,1596549339
Tasiilaq,65.61,-37.64,46.4,93,40,2.24,GL,1596549064
Atbasar,51.8,68.33,78.85,48,29,11.77,KZ,1596549580
Kaabong,3.48,34.15,69.48,70,66,6.29,UG,1596549581
Potosí,-19.58,-65.75,50.59,39,0,2.15,BO,1596549581
Qaanaaq,77.48,-69.36,32.2,88,96,8.34,GL,1596549098
Katangli,51.71,143.23,50.4,94,100,13.6,RU,1596549582
Katsuura,35.13,140.3,80.01,85,4,5.75,JP,1596549168
Longyearbyen,78.22,15.64,53.6,66,20,3.36,SJ,1596549342
Naryan-Mar,67.67,53.09,58.53,77,93,12.1,RU,1596549364
Praia,14.92,-23.51,86.0,62,40,10.29,CV,1596549276
Ouallam,14.32,2.09,83.82,60,89,11.79,NE,1596549585
Sur,22.57,59.53,93.58,52,92,2.84,OM,1596549182
Meadow Lake,34.8,-106.54,71.6,46,75,3.36,US,1596549335
Aransas Pass,27.91,-97.15,84.2,100,1,3.36,US,1596549586
